state,year,ev_per_10000
Alabama,2016,1
Alabama,2017,2
Alabama,2018,3
Alabama,2019,4
Alabama,2020,6
Alabama,2021,9
Alabama,2022,17
Alabama,2023,25
Alaska,2016,3
Alaska,2017,5
Alaska,2018,7
Alaska,2019,10
Alaska,2020,12
Alaska,2021,18
Alaska,2022,27
Alaska,2023,37
Arizona,2016,7
Arizona,2017,10
Arizona,2018,18
Arizona,2019,27
Arizona,2020,40
Arizona,2021,56
Arizona,2022,89
Arizona,2023,121
Arkansas,2016,1
Arkansas,2017,1
Arkansas,2018,2
Arkansas,2019,3
Arkansas,2020,4
Arkansas,2021,8
Arkansas,2022,17
Arkansas,2023,23
California,2016,36
California,2017,48
California,2018,69
California,2019,89
California,2020,108
California,2021,144
California,2022,232
California,2023,322
Colorado,2016,10
Colorado,2017,14
Colorado,2018,22
Colorado,2019,33
Colorado,2020,43
Colorado,2021,64
Colorado,2022,103
Colorado,2023,153
Connecticut,2016,6
Connecticut,2017,8
Connecticut,2018,14
Connecticut,2019,19
Connecticut,2020,25
Connecticut,2021,37
Connecticut,2022,61
Connecticut,2023,87
Delaware,2016,3
Delaware,2017,4
Delaware,2018,8
Delaware,2019,13
Delaware,2020,19
Delaware,2021,30
Delaware,2022,53
Delaware,2023,81
District of Columbia,2016,9
District of Columbia,2017,12
District of Columbia,2018,16
District of Columbia,2019,26
District of Columbia,2020,35
District of Columbia,2021,55
District of Columbia,2022,88
District of Columbia,2023,119
Florida,2016,6
Florida,2017,8
Florida,2018,13
Florida,2019,19
Florida,2020,27
Florida,2021,44
Florida,2022,76
Florida,2023,113
Georgia,2016,17
Georgia,2017,14
Georgia,2018,15
Georgia,2019,18
Georgia,2020,22
Georgia,2021,31
Georgia,2022,55
Georgia,2023,84
Hawaii,2016,29
Hawaii,2017,38
Hawaii,2018,46
Hawaii,2019,62
Hawaii,2020,74
Hawaii,2021,99
Hawaii,2022,137
Hawaii,2023,178
Idaho,2016,2
Idaho,2017,4
Idaho,2018,6
Idaho,2019,9
Idaho,2020,12
Idaho,2021,18
Idaho,2022,30
Idaho,2023,43
Illinois,2016,5
Illinois,2017,6
Illinois,2018,11
Illinois,2019,15
Illinois,2020,20
Illinois,2021,29
Illinois,2022,53
Illinois,2023,79
Indiana,2016,2
Indiana,2017,3
Indiana,2018,5
Indiana,2019,8
Indiana,2020,10
Indiana,2021,15
Indiana,2022,26
Indiana,2023,38
Iowa,2016,1
Iowa,2017,2
Iowa,2018,3
Iowa,2019,5
Iowa,2020,7
Iowa,2021,12
Iowa,2022,19
Iowa,2023,28
Kansas,2016,2
Kansas,2017,3
Kansas,2018,6
Kansas,2019,8
Kansas,2020,11
Kansas,2021,15
Kansas,2022,26
Kansas,2023,38
Kentucky,2016,1
Kentucky,2017,2
Kentucky,2018,3
Kentucky,2019,4
Kentucky,2020,6
Kentucky,2021,9
Kentucky,2022,17
Kentucky,2023,26
Louisiana,2016,1
Louisiana,2017,1
Louisiana,2018,2
Louisiana,2019,3
Louisiana,2020,4
Louisiana,2021,7
Louisiana,2022,13
Louisiana,2023,18
Maine,2016,2
Maine,2017,4
Maine,2018,6
Maine,2019,10
Maine,2020,14
Maine,2021,22
Maine,2022,36
Maine,2023,53
Maryland,2016,5
Maryland,2017,7
Maryland,2018,14
Maryland,2019,22
Maryland,2020,29
Maryland,2021,42
Maryland,2022,75
Maryland,2023,117
Massachusetts,2016,5
Massachusetts,2017,8
Massachusetts,2018,15
Massachusetts,2019,20
Massachusetts,2020,30
Massachusetts,2021,44
Massachusetts,2022,71
Massachusetts,2023,105
Michigan,2016,2
Michigan,2017,3
Michigan,2018,4
Michigan,2019,7
Michigan,2020,11
Michigan,2021,17
Michigan,2022,33
Michigan,2023,50
Minnesota,2016,3
Minnesota,2017,4
Minnesota,2018,9
Minnesota,2019,14
Minnesota,2020,18
Minnesota,2021,26
Minnesota,2022,43
Minnesota,2023,65
Mississippi,2016,0
Mississippi,2017,1
Mississippi,2018,1
Mississippi,2019,2
Mississippi,2020,3
Mississippi,2021,4
Mississippi,2022,8
Mississippi,2023,12
Missouri,2016,2
Missouri,2017,3
Missouri,2018,6
Missouri,2019,8
Missouri,2020,11
Missouri,2021,16
Missouri,2022,29
Missouri,2023,43
Montana,2016,2
Montana,2017,3
Montana,2018,5
Montana,2019,7
Montana,2020,8
Montana,2021,14
Montana,2022,29
Montana,2023,41
Nebraska,2016,2
Nebraska,2017,3
Nebraska,2018,5
Nebraska,2019,7
Nebraska,2020,9
Nebraska,2021,14
Nebraska,2022,23
Nebraska,2023,35
Nevada,2016,7
Nevada,2017,10
Nevada,2018,17
Nevada,2019,26
Nevada,2020,35
Nevada,2021,55
Nevada,2022,104
Nevada,2023,148
New Hampshire,2016,3
New Hampshire,2017,4
New Hampshire,2018,9
New Hampshire,2019,14
New Hampshire,2020,20
New Hampshire,2021,29
New Hampshire,2022,50
New Hampshire,2023,71
New Jersey,2016,5
New Jersey,2017,8
New Jersey,2018,15
New Jersey,2019,23
New Jersey,2020,33
New Jersey,2021,52
New Jersey,2022,94
New Jersey,2023,145
New Mexico,2016,2
New Mexico,2017,3
New Mexico,2018,6
New Mexico,2019,9
New Mexico,2020,12
New Mexico,2021,20
New Mexico,2022,34
New Mexico,2023,49
New York,2016,3
New York,2017,5
New York,2018,8
New York,2019,12
New York,2020,16
New York,2021,26
New York,2022,43
New York,2023,67
North Carolina,2016,3
North Carolina,2017,4
North Carolina,2018,7
North Carolina,2019,11
North Carolina,2020,15
North Carolina,2021,24
North Carolina,2022,43
North Carolina,2023,65
North Dakota,2016,
North Dakota,2017,1
North Dakota,2018,1
North Dakota,2019,3
North Dakota,2020,3
North Dakota,2021,5
North Dakota,2022,8
North Dakota,2023,13
Ohio,2016,2
Ohio,2017,3
Ohio,2018,5
Ohio,2019,9
Ohio,2020,12
Ohio,2021,18
Ohio,2022,29
Ohio,2023,43
Oklahoma,2016,2
Oklahoma,2017,3
Oklahoma,2018,9
Oklahoma,2019,9
Oklahoma,2020,9
Oklahoma,2021,18
Oklahoma,2022,41
Oklahoma,2023,56
Oregon,2016,19
Oregon,2017,24
Oregon,2018,33
Oregon,2019,45
Oregon,2020,54
Oregon,2021,71
Oregon,2022,111
Oregon,2023,152
Pennsylvania,2016,3
Pennsylvania,2017,3
Pennsylvania,2018,6
Pennsylvania,2019,9
Pennsylvania,2020,13
Pennsylvania,2021,21
Pennsylvania,2022,37
Pennsylvania,2023,54
Rhode Island,2016,3
Rhode Island,2017,4
Rhode Island,2018,7
Rhode Island,2019,10
Rhode Island,2020,15
Rhode Island,2021,23
Rhode Island,2022,39
Rhode Island,2023,58
South Carolina,2016,2
South Carolina,2017,2
South Carolina,2018,4
South Carolina,2019,6
South Carolina,2020,9
South Carolina,2021,14
South Carolina,2022,26
South Carolina,2023,39
South Dakota,2016,1
South Dakota,2017,1
South Dakota,2018,2
South Dakota,2019,3
South Dakota,2020,5
South Dakota,2021,8
South Dakota,2022,13
South Dakota,2023,18
Tennessee,2016,4
Tennessee,2017,4
Tennessee,2018,6
Tennessee,2019,8
Tennessee,2020,11
Tennessee,2021,17
Tennessee,2022,31
Tennessee,2023,47
Texas,2016,4
Texas,2017,6
Texas,2018,9
Texas,2019,13
Texas,2020,18
Texas,2021,27
Texas,2022,50
Texas,2023,75
Utah,2016,8
Utah,2017,12
Utah,2018,18
Utah,2019,25
Utah,2020,34
Utah,2021,49
Utah,2022,83
Utah,2023,117
Vermont,2016,5
Vermont,2017,11
Vermont,2018,18
Vermont,2019,27
Vermont,2020,34
Vermont,2021,53
Vermont,2022,82
Vermont,2023,120
Virginia,2016,4
Virginia,2017,6
Virginia,2018,12
Virginia,2019,18
Virginia,2020,24
Virginia,2021,36
Virginia,2022,65
Virginia,2023,97
Washington,2016,20
Washington,2017,28
Washington,2018,40
Washington,2019,53
Washington,2020,65
Washington,2021,86
Washington,2022,134
Washington,2023,195
West Virginia,2016,1
West Virginia,2017,1
West Virginia,2018,1
West Virginia,2019,2
West Virginia,2020,3
West Virginia,2021,6
West Virginia,2022,11
West Virginia,2023,16
Wisconsin,2016,5
Wisconsin,2017,5
Wisconsin,2018,6
Wisconsin,2019,8
Wisconsin,2020,11
Wisconsin,2021,16
Wisconsin,2022,27
Wisconsin,2023,42
Wyoming,2016,2
Wyoming,2017,2
Wyoming,2018,3
Wyoming,2019,3
Wyoming,2020,5
Wyoming,2021,9
Wyoming,2022,14
Wyoming,2023,19